기준,구분,2017,2018,2019,2020,2021,2022,2023,2024 p),평균연체율,최근연체율,증감폭,최근3년평균,기준별_최근연체율_평균,기준별_평균연체율_평균,기준별_최근3년평균_평균,최근연체율_상대위험도,평균연체율_상대위험도,최근3년평균_상대위험도
산업분류별,교육 서비스업,1.21,1.26,1.24,0.96,0.72,0.69,1.35,2.22,1.20625,2.22,1.0100000000000002,1.42,2.3706666666666667,1.5338333333333334,1.758888888888889,0.9364454443194601,0.786428338585244,0.8073278584965256
산업분류별,보건업 및 사회복지 서비스업,0.45,0.46,0.47,0.42,0.34,0.31,0.37,0.42,0.4049999999999999,0.42,-0.03,0.3666666666666666,2.3706666666666667,1.5338333333333334,1.758888888888889,0.17716535433070865,0.26404433336955335,0.2084649399873657
산업분류별,"예술, 스포츠 및 여가관련 서비스업",1.4,1.5,1.61,1.51,1.26,1.24,1.97,2.9,1.67375,2.9,1.5,2.036666666666666,2.3706666666666667,1.5338333333333334,1.758888888888889,1.2232845894263216,1.0912202542649136,1.1579279848389132
산업분류별,"협회 및 단체, 수리 및 기타 개인서비스업",1.49,1.69,1.73,1.51,1.33,1.34,1.97,2.81,1.73375,2.81,1.32,2.04,2.3706666666666667,1.5338333333333334,1.758888888888889,1.1853205849268842,1.130337933282625,1.1598231206569805
산업분류별,기타,1.63,1.34,1.15,0.95,0.81,0.71,0.83,1.04,1.0575,1.04,-0.5899999999999999,0.86,2.3706666666666667,1.5338333333333334,1.758888888888889,0.43869516310461193,0.6894490926871673,0.488945041061276
매출액별,3천만원 미만,2.05,2.17,2.23,1.98,1.74,1.81,2.55,3.79,2.29,3.79,1.7400000000000002,2.7166666666666663,1.41625,0.9367187499999999,1.0841666666666667,2.676081200353045,2.444703919933278,2.50576479631053
매출액별,3~5천만원 미만,1.04,1.13,1.2,0.95,0.86,0.85,1.38,1.6,1.12625,1.6,0.56,1.2766666666666666,1.41625,0.9367187499999999,1.0841666666666667,1.1297440423654017,1.2023352793994997,1.177555726364335
매출액별,5~10천만원 미만,0.91,1.01,1.09,0.87,0.77,0.77,1.28,1.5,1.025,1.5,0.59,1.1833333333333331,1.41625,0.9367187499999999,1.0841666666666667,1.059135039717564,1.0942452043369475,1.0914681014604148
매출액별,10~15천만원 미만,0.72,0.8,0.92,0.76,0.65,0.62,1.06,1.3,0.8537499999999999,1.3,0.5800000000000001,0.9933333333333336,1.41625,0.9367187499999999,1.0841666666666667,0.9179170344218888,0.9114261884904087,0.9162182936202923
매출액별,15~30천만원 미만,0.65,0.7,0.79,0.67,0.6,0.57,0.9,1.15,0.7537499999999999,1.15,0.4999999999999999,0.8733333333333334,1.41625,0.9367187499999999,1.0841666666666667,0.8120035304501323,0.8046705587989992,0.8055342044581092
매출액별,30~50천만원 미만,0.52,0.56,0.64,0.57,0.47,0.5,0.73,0.89,0.61,0.89,0.37,0.7066666666666667,1.41625,0.9367187499999999,1.0841666666666667,0.6284201235657546,0.651209341117598,0.6518063028439661
매출액별,50~100천만원 미만,0.4,0.46,0.47,0.45,0.42,0.38,0.54,0.65,0.47125,0.65,0.25,0.5233333333333333,1.41625,0.9367187499999999,1.0841666666666667,0.4589585172109444,0.5030859049207673,0.48270561106840887
매출액별,100천만원 이상,0.31,0.32,0.34,0.4,0.34,0.32,0.43,0.45,0.3637500000000001,0.45,0.14,0.3999999999999999,1.41625,0.9367187499999999,1.0841666666666667,0.3177405119152692,0.3883236030025022,0.36894696387394305
사업기간별,3년 미만,1.5,1.63,1.66,1.43,1.28,1.33,1.88,2.49,1.65,2.49,0.9900000000000002,1.9,2.2600000000000002,1.4041666666666668,1.6522222222222223,1.1017699115044248,1.175074183976261,1.1499663752521856
사업기간별,3~10년 미만,1.53,1.64,1.73,1.55,1.34,1.35,2.01,2.93,1.76,2.93,1.4,2.0966666666666667,2.2600000000000002,1.4041666666666668,1.6522222222222223,1.2964601769911503,1.2534124629080117,1.2689979825151312
사업기간별,10년 이상,0.68,0.73,0.78,0.72,0.63,0.62,0.9,1.36,0.8025000000000001,1.36,0.68,0.96,2.2600000000000002,1.4041666666666668,1.6522222222222223,0.6017699115044247,0.571513353115727,0.5810356422326832
대출잔액별,1천만원 미만,3.49,3.76,3.91,4.08,3.63,2.88,2.84,3.63,3.5275,3.63,0.1399999999999996,3.1166666666666667,2.47625,1.54,1.8275,1.4659262998485614,2.2905844155844153,1.7054263565891474
대출잔액별,1~3천만원 미만,1.94,2.15,2.24,2.2,2.04,2.01,2.34,3.04,2.245,3.04,1.1,2.4633333333333334,2.47625,1.54,1.8275,1.2276627965673903,1.4577922077922079,1.3479252165982674
대출잔액별,3~5천만원 미만,1.45,1.56,1.59,1.4,1.33,1.43,2.04,2.91,1.71375,2.91,1.4600000000000002,2.1266666666666665,2.47625,1.54,1.8275,1.1751640585562848,1.1128246753246753,1.1637026903784768
대출잔액별,5~7천만원 미만,1.03,1.15,1.2,1.04,0.97,1.17,1.94,2.77,1.40875,2.77,1.74,1.96,2.47625,1.54,1.8275,1.1186269560827866,0.9147727272727272,1.0725034199726402
대출잔액별,7천만~1억원 미만,0.83,0.89,0.97,0.81,0.79,0.92,1.78,2.72,1.21375,2.72,1.89,1.8066666666666664,2.47625,1.54,1.8275,1.098435133770823,0.7881493506493507,0.9886000911992703
대출잔액별,1~2억원 미만,0.58,0.66,0.73,0.64,0.56,0.64,1.28,1.94,0.8787499999999999,1.94,1.36,1.2866666666666666,2.47625,1.54,1.8275,0.7834427057041898,0.5706168831168831,0.7040583675330597
대출잔액별,2~3억원 미만,0.45,0.54,0.63,0.52,0.41,0.46,0.86,1.33,0.65,1.33,0.8800000000000001,0.8833333333333334,2.47625,1.54,1.8275,0.5371024734982333,0.4220779220779221,0.48335613315093484
대출잔액별,3억원 이상,0.43,0.51,0.63,0.54,0.42,0.48,0.98,1.47,0.6825,1.47,1.04,0.9766666666666666,2.47625,1.54,1.8275,0.5936395759717314,0.4431818181818182,0.5344277245782033
