PRDLST_NM,BSSH_NM,PRDT_SHAP_CD_NM
11종혼합유산균 아이(I),(주)메디오젠,분말
11종혼합유산균디아이(DI)-3000,(주)메디오젠,분말
11종혼합유산균디아이(DI)-3000,(주)메디오젠 충주원료공장,분말
12 Probiotics Powder (전량수출용),(주)씨티씨바이오,분말
125건강 엠에스엠,대원헬스케어 주식회사 2공장,정
125건강 엠에스엠,주식회사한미양행,정
12S-블렌드-200 (12S-Blend-200),(주)빅솔 반월공장,분말
12종 혼합유산균 1,(주)쎌바이오텍,분말
12종 혼합유산균 1011,(주)쎌바이오텍,분말
12종 혼합유산균 2011,(주)쎌바이오텍,분말
12종 혼합유산균 2511,(주)쎌바이오텍,분말
12종 혼합유산균 3011,(주)쎌바이오텍,분말
12종락포엘맥스유산균,(주)메디오젠,분말
12종락포엘맥스유산균,(주)메디오젠 충주원료공장,분말
12종멀티생유산균,(주)메디오젠,분말
12종알파혼합유산균-2500,(주)메디오젠 충주원료공장,분말
12종알파혼합유산균-2500,(주)메디오젠,분말
12종알파혼합유산균에이(A)-3400,(주)메디오젠,분말
12종알파혼합유산균에이(A)-3500,(주)메디오젠,분말
12종알파혼합유산균에이(A)-3500,(주)메디오젠 충주원료공장,분말
12종지락유산균,(주)메디오젠,분말
12종혼합유산균 450B,(주)바이텍 익산지점,분말
12종혼합유산균 RS-100B GN,(주)케비젠,분말
12종혼합유산균 엘디(LD),(주)메디오젠,분말
12종혼합유산균-대원성인,(주)씨티씨바이오,분말
12종혼합유산균-알에스 100비(12종혼합유산균-RS 100B),(주)씨티씨바이오,분말
12종혼합유산균-알에스 200비(12종혼합유산균-RS 200B),(주)씨티씨바이오,분말
12종혼합유산균-제트(z),(주)메디오젠,분말
12종혼합유산균-제트(z),(주)메디오젠 충주원료공장,분말
12종혼합유산균디아이(DI)-2100,(주)메디오젠 충주원료공장,분말
12종혼합유산균디아이(DI)-2100,(주)메디오젠,분말
12종혼합유산균분말,(주)메디오젠 충주원료공장,분말
12종혼합유산균분말,(주)메디오젠,분말
12종혼합유산균비(B)-2600,(주)메디오젠 충주원료공장,분말
12종혼합유산균비(B)-2600,(주)메디오젠,분말
12종혼합유산균알파-10,(주)메디오젠,분말
12종혼합유산균알파-10,(주)메디오젠 충주원료공장,분말
12종혼합유산균알파-1000,(주)메디오젠 충주원료공장,분말
12종혼합유산균알파-1000,(주)메디오젠,분말
12종혼합유산균알파-2000,(주)메디오젠,분말
